age,gender,height_cm,weight_kg,bmi,bmi_category,bmr,tdee,activity_level,activity_multiplier,Mod_act,Vig_act,has_activity_data,fitness_goal,workout_template_id,nutrition_template_id,data_source,split
61,Male,154.9,99.8,41.57,Obese,1822.5,3298.7,High Activity,1.81,20.0,0.0,True,Fat Loss,3,3,real,train
53,Male,180.3,98.4,30.27,Obese,1971.6,3056.0,Moderate Activity,1.55,3.0,0.0,True,Fat Loss,2,3,real,train
19,Male,172.7,77.1,25.85,Overweight,1842.4,3334.8,High Activity,1.81,20.0,0.0,True,Fat Loss,3,2,real,train
18,Male,180.3,63.5,19.53,Normal,1702.4,3081.3,High Activity,1.81,40.0,1.0,True,Maintenance,9,6,real,train
58,Female,160.0,83.0,32.42,Obese,1459.8,2642.2,High Activity,1.81,6.0,0.0,True,Fat Loss,3,3,real,train
54,Female,162.6,65.8,24.89,Normal,1325.6,2054.6,Moderate Activity,1.55,3.0,0.0,True,Maintenance,8,6,real,train
34,Female,165.1,65.8,24.13,Normal,1420.0,2570.3,High Activity,1.81,3.0,5.0,True,Fat Loss,3,1,real,train
34,Female,160.0,74.8,29.23,Overweight,1488.2,2693.6,High Activity,1.81,56.0,3.0,True,Fat Loss,3,2,real,train
62,Male,182.9,72.6,21.7,Normal,1586.3,2046.3,Low Activity,1.29,2.0,0.0,True,Maintenance,7,6,real,train
58,Female,160.0,81.6,31.89,Obese,1447.2,2243.1,Moderate Activity,1.55,3.0,1.0,True,Fat Loss,2,3,real,train
63,Female,160.0,59.0,23.03,Normal,1215.8,2200.6,High Activity,1.81,10.0,0.0,True,Maintenance,9,6,real,train
47,Male,180.3,106.6,32.78,Obese,2115.0,3828.2,High Activity,1.81,48.0,20.0,True,Fat Loss,3,3,real,train
